marital_status	num_children_at_home	age	year_income	member_card
S	1	age3x	year_income3	Basic	
M	null	age8x&90	year_income2	Gold	
M	1	age8x&90	year_income1	Gold	
S	null	age3x	year_income1	Normal	
M	null	age4x	year_income1	Basic	
M	2	age5x	year_income1	Silver	
M	1	age5x	year_income2	Basic	
S	null	age7x	year_income1	Basic	
M	2	age2x	year_income2	Basic	
M	3	age5x	year_income3	Gold	
S	1	age3x	year_income3	Basic	
S	null	age2x	year_income2	Normal	
S	1	age2x	year_income2	Basic	
M	1	age8x&90	year_income2	Basic	
M	1	age5x	year_income1	Normal	
S	1	age8x&90	year_income2	Basic	
S	3	age7x	year_income1	Normal	
S	1	age8x&90	year_income1	Basic	
S	1	age4x	year_income2	Normal	
M	1	age2x	year_income1	Basic	
M	1	age8x&90	year_income1	Silver	
M	2	age5x	year_income1	Silver	
S	2	age8x&90	year_income2	Silver	
S	null	age7x	year_income1	Normal	
S	null	age4x	year_income3	Basic	
S	null	age4x	year_income1	Silver	
M	null	age6x	year_income2	Basic	
M	null	age3x	year_income1	Gold	
M	2	age6x	year_income3	Basic	
M	1	age8x&90	year_income1	Basic	
S	2	age2x	year_income2	Basic	
M	null	age7x	year_income2	Basic	
S	1	age2x	year_income2	Basic	
M	2	age8x&90	year_income2	Basic	
S	3	age8x&90	year_income2	Gold	
S	1	age8x&90	year_income2	Basic	
S	null	age3x	year_income2	Basic	
M	null	age4x	year_income1	Basic	
S	3	age4x	year_income2	Basic	
M	null	age7x	year_income3	Normal	
S	1	age8x&90	year_income2	Basic	
M	1	age3x	year_income1	Basic	
S	1	age2x	year_income1	Basic	
S	1	age8x&90	year_income2	Basic	
M	4	age8x&90	year_income3	Basic	
S	null	age7x	year_income4	Silver	
M	null	age4x	year_income1	Basic	
M	null	age7x	year_income2	Silver	
S	1	age7x	year_income4	Basic	
S	3	age7x	year_income2	Gold	
M	4	age4x	year_income1	Gold	
M	2	age8x&90	year_income1	Basic	
M	3	age6x	year_income2	Gold	
S	null	age3x	year_income1	Silver	
S	1	age7x	year_income1	Normal	
M	2	age6x	year_income3	Basic	
M	2	age4x	year_income2	Normal	
M	2	age4x	year_income2	Basic	
M	4	age5x	year_income1	Gold	
S	2	age8x&90	year_income2	Basic	
M	1	age5x	year_income2	Basic	
M	null	age6x	year_income4	Silver	
S	null	age8x&90	year_income1	Normal	
M	1	age6x	year_income1	Silver	
S	null	age2x	year_income2	Basic	
S	3	age6x	year_income1	Gold	
S	1	age7x	year_income3	Basic	
M	null	age8x&90	year_income1	Basic	
S	1	age3x	year_income2	Basic	
S	null	age2x	year_income1	Basic	
S	5	age3x	year_income1	Gold	
M	3	age6x	year_income2	Gold	
M	2	age7x	year_income1	Gold	
S	3	age3x	year_income1	Gold	
M	1	age8x&90	year_income2	Basic	
S	null	age8x&90	year_income2	Silver	
S	1	age7x	year_income1	Basic	
S	null	age6x	year_income4	Basic	
S	1	age4x	year_income2	Basic	
M	1	age5x	year_income2	Basic	
S	1	age5x	year_income1	Basic	
M	4	age5x	year_income3	Gold	
S	2	age3x	year_income2	Basic	
M	1	age6x	year_income2	Silver	
M	2	age5x	year_income1	Normal	
S	1	age8x&90	year_income1	Basic	
M	2	age5x	year_income3	Basic	
M	1	age5x	year_income4	Gold	
S	3	age2x	year_income1	Gold	
M	1	age2x	year_income1	Basic	
S	null	age4x	year_income3	Normal	
M	4	age6x	year_income4	Basic	
S	2	age3x	year_income2	Gold	
S	1	age6x	year_income1	Normal	
M	2	age7x	year_income3	Basic	
S	null	age4x	year_income4	Silver	
S	null	age7x	year_income2	Basic	
S	null	age4x	year_income2	Basic	
M	3	age6x	year_income2	Gold	
S	1	age7x	year_income2	Basic	
S	null	age2x	year_income1	Silver	
M	null	age2x	year_income1	Basic	
S	3	age8x&90	year_income1	Gold	
S	1	age4x	year_income1	Basic	
M	1	age6x	year_income2	Basic	
M	5	age2x	year_income1	Gold	
M	null	age7x	year_income1	Basic	
M	1	age6x	year_income1	Basic	
S	1	age7x	year_income2	Silver	
M	1	age5x	year_income2	Basic	
M	null	age3x	year_income3	Basic	
M	3	age5x	year_income4	Gold	
S	1	age3x	year_income1	Basic	
S	null	age5x	year_income1	Basic	
S	1	age2x	year_income1	Normal	
S	1	age6x	year_income2	Gold	
S	null	age4x	year_income2	Basic	
M	null	age8x&90	year_income1	Basic	
M	4	age4x	year_income1	Gold	
S	null	age4x	year_income4	Silver	
S	1	age8x&90	year_income1	Basic	
S	1	age8x&90	year_income4	Basic	
M	1	age3x	year_income4	Basic	
M	1	age7x	year_income1	Silver	
M	null	age2x	year_income1	Normal	
S	2	age5x	year_income1	Basic	
M	1	age6x	year_income2	Silver	
S	1	age5x	year_income3	Basic	
S	null	age7x	year_income2	Basic	
M	null	age5x	year_income1	Normal	
S	1	age5x	year_income1	Silver	
S	null	age6x	year_income1	Gold	
S	1	age8x&90	year_income2	Basic	
S	1	age8x&90	year_income2	Basic	
S	1	age7x	year_income3	Basic	
M	3	age4x	year_income4	Silver	
S	3	age5x	year_income1	Silver	
M	2	age7x	year_income1	Basic	
S	1	age6x	year_income1	Basic	
M	null	age5x	year_income1	Basic	
M	1	age6x	year_income2	Gold	
M	1	age4x	year_income2	Basic	
M	1	age2x	year_income1	Normal	
S	2	age3x	year_income4	Silver	
S	3	age2x	year_income4	Gold	
M	1	age4x	year_income4	Basic	
M	4	age8x&90	year_income2	Silver	
S	1	age5x	year_income1	Basic	
M	1	age3x	year_income1	Basic	
M	2	age7x	year_income1	Basic	
S	2	age4x	year_income1	Normal	
M	1	age4x	year_income3	Normal	
S	3	age8x&90	year_income2	Gold	
M	null	age8x&90	year_income2	Basic	
M	null	age3x	year_income2	Basic	
S	1	age5x	year_income3	Silver	
M	2	age8x&90	year_income1	Normal	
M	null	age3x	year_income1	Basic	
S	3	age6x	year_income2	Gold	
M	null	age3x	year_income1	Basic	
M	1	age6x	year_income2	Basic	
M	2	age3x	year_income1	Normal	
S	4	age4x	year_income2	Gold	
S	2	age5x	year_income1	Basic	
S	null	age6x	year_income2	Basic	
S	2	age6x	year_income2	Basic	
M	null	age6x	year_income1	Basic	
M	1	age3x	year_income2	Basic	
S	null	age4x	year_income1	Normal	
S	1	age8x&90	year_income1	Normal	
S	2	age6x	year_income4	Basic	
S	null	age5x	year_income1	Gold	
S	3	age6x	year_income1	Gold	
S	1	age4x	year_income1	Basic	
S	null	age2x	year_income1	Normal	
S	null	age4x	year_income3	Basic	
M	null	age2x	year_income2	Silver	
M	null	age3x	year_income2	Basic	
S	1	age8x&90	year_income2	Normal	
M	3	age5x	year_income2	Basic	
M	null	age3x	year_income3	Gold	
S	1	age7x	year_income4	Basic	
S	1	age3x	year_income2	Basic	
S	3	age3x	year_income1	Silver	
S	1	age7x	year_income1	Basic	
S	1	age6x	year_income3	Basic	
M	null	age2x	year_income1	Silver	
M	1	age4x	year_income2	Basic	
M	1	age8x&90	year_income2	Basic	
S	null	age3x	year_income1	Normal	
S	null	age5x	year_income2	Gold	
S	null	age2x	year_income2	Basic	
S	null	age5x	year_income2	Basic	
S	1	age3x	year_income1	Normal	
S	1	age3x	year_income2	Basic	
M	1	age3x	year_income2	Gold	
M	null	age5x	year_income1	Basic	
M	1	age6x	year_income1	Normal	
S	null	age5x	year_income3	Silver	
M	3	age2x	year_income2	Gold	
S	null	age2x	year_income1	Normal	
M	2	age5x	year_income4	Normal	
S	1	age4x	year_income1	Basic	
M	2	age3x	year_income2	Normal	
M	null	age4x	year_income3	Silver	
M	null	age2x	year_income2	Basic	
M	1	age6x	year_income2	Normal	
M	2	age8x&90	year_income3	Basic	
S	null	age7x	year_income1	Gold	
M	null	age8x&90	year_income4	Normal	
S	2	age4x	year_income1	Normal	
M	null	age2x	year_income3	Basic	
S	null	age7x	year_income1	Gold	
M	1	age4x	year_income2	Basic	
M	3	age2x	year_income2	Gold	
S	2	age3x	year_income3	Basic	
M	3	age8x&90	year_income1	Gold	
S	1	age5x	year_income1	Gold	
M	1	age3x	year_income4	Silver	
M	null	age7x	year_income3	Basic	
M	2	age3x	year_income2	Gold	
S	1	age3x	year_income3	Gold	
M	2	age7x	year_income1	Normal	
S	2	age6x	year_income3	Basic	
S	2	age2x	year_income1	Gold	
S	2	age4x	year_income3	Basic	
S	3	age8x&90	year_income2	Basic	
S	null	age3x	year_income1	Basic	
S	1	age5x	year_income2	Basic	
M	1	age2x	year_income1	Gold	
S	1	age6x	year_income3	Gold	
S	3	age4x	year_income1	Normal	
M	null	age5x	year_income1	Normal	
M	2	age4x	year_income1	Basic	
S	1	age6x	year_income1	Basic	
M	3	age7x	year_income2	Gold	
S	5	age6x	year_income3	Gold	
S	1	age3x	year_income1	Basic	
S	2	age3x	year_income2	Basic	
M	null	age6x	year_income1	Basic	
M	3	age6x	year_income2	Gold	
M	null	age4x	year_income1	Basic	
S	1	age5x	year_income2	Silver	
S	1	age3x	year_income3	Basic	
M	2	age7x	year_income2	Basic	
S	1	age3x	year_income2	Silver	
M	1	age2x	year_income1	Silver	
M	3	age3x	year_income2	Basic	
S	2	age7x	year_income1	Basic	
S	1	age4x	year_income2	Basic	
M	null	age3x	year_income2	Basic	
S	1	age6x	year_income1	Basic	
M	1	age2x	year_income1	Basic	
S	1	age2x	year_income3	Basic	
M	3	age7x	year_income1	Gold	
M	1	age5x	year_income1	Basic	
M	1	age2x	year_income1	Basic	
S	null	age4x	year_income2	Silver	
M	1	age7x	year_income4	Silver	
S	1	age2x	year_income4	Basic	
M	null	age3x	year_income1	Normal	
M	3	age2x	year_income2	Gold	
S	2	age4x	year_income1	Basic	
M	2	age2x	year_income2	Basic	
S	null	age4x	year_income2	Basic	
S	1	age4x	year_income1	Silver	
S	1	age5x	year_income1	Basic	
S	1	age6x	year_income2	Silver	
M	null	age5x	year_income1	Basic	
M	null	age2x	year_income1	Silver	
S	1	age2x	year_income2	Basic	
S	1	age6x	year_income2	Silver	
M	2	age5x	year_income1	Basic	
S	1	age4x	year_income2	Gold	
M	2	age3x	year_income3	Basic	
S	2	age8x&90	year_income3	Basic	
